Año;Periodo;Territorio;Indicador;Valor;Unidad;Estado dato
2024;T4;Moratalaz;Tasa de variación sobre igual período del año anterior;10.8;Porcentaje;
2024;T4;Puente de Vallecas;Serie;118.667;Índice;
2024;T4;Puente de Vallecas;Tasa de variación sobre el periodo anterior;1.2;Porcentaje;
2024;T4;Puente de Vallecas;Tasa de variación sobre igual período del año anterior;11.4;Porcentaje;
2024;T4;Retiro;Serie;120.309;Índice;
2024;T4;Retiro;Tasa de variación sobre el periodo anterior;0.4;Porcentaje;
2024;T4;Retiro;Tasa de variación sobre igual período del año anterior;13.4;Porcentaje;
2024;T4;Salamanca;Serie;125.527;Índice;
2024;T4;Salamanca;Tasa de variación sobre el periodo anterior;3.4;Porcentaje;
2024;T4;Salamanca;Tasa de variación sobre igual período del año anterior;9.6;Porcentaje;
2024;T4;San Blas-Canillejas;Serie;117.408;Índice;
2024;T4;San Blas-Canillejas;Tasa de variación sobre el periodo anterior;5.5;Porcentaje;
2024;T4;San Blas-Canillejas;Tasa de variación sobre igual período del año anterior;12.6;Porcentaje;
2024;T4;Tetuán;Serie;122.013;Índice;
2024;T4;Tetuán;Tasa de variación sobre el periodo anterior;7.0;Porcentaje;
2024;T4;Tetuán;Tasa de variación sobre igual período del año anterior;15.2;Porcentaje;
2024;T4;Usera;Serie;122.486;Índice;
2024;T4;Usera;Tasa de variación sobre el periodo anterior;4.6;Porcentaje;
2024;T4;Usera;Tasa de variación sobre igual período del año anterior;16.4;Porcentaje;
2024;T4;Vicálvaro;Serie;114.429;Índice;
2024;T4;Vicálvaro;Tasa de variación sobre el periodo anterior;3.5;Porcentaje;
2024;T4;Vicálvaro;Tasa de variación sobre igual período del año anterior;7.7;Porcentaje;
2024;T4;Villa de Vallecas;Serie;116.867;Índice;
2024;T4;Villa de Vallecas;Tasa de variación sobre el periodo anterior;2.3;Porcentaje;
2024;T4;Villa de Vallecas;Tasa de variación sobre igual período del año anterior;13.5;Porcentaje;
2024;T4;Villaverde;Serie;121.788;Índice;
2024;T4;Villaverde;Tasa de variación sobre el periodo anterior;3.4;Porcentaje;
2024;T4;Villaverde;Tasa de variación sobre igual período del año anterior;14.0;Porcentaje;
2024;T3;Arganzuela;Serie;115.879;Índice;
2024;T3;Arganzuela;Tasa de variación sobre el periodo anterior;4.8;Porcentaje;
2024;T3;Arganzuela;Tasa de variación sobre igual período del año anterior;9.1;Porcentaje;
2024;T3;Barajas;Serie;105.93;Índice;
2024;T3;Barajas;Tasa de variación sobre el periodo anterior;-0.2;Porcentaje;
2024;T3;Barajas;Tasa de variación sobre igual período del año anterior;2.7;Porcentaje;
2024;T3;Carabanchel;Serie;118.315;Índice;
2024;T3;Carabanchel;Tasa de variación sobre el periodo anterior;3.7;Porcentaje;
2024;T3;Carabanchel;Tasa de variación sobre igual período del año anterior;15.3;Porcentaje;
2024;T3;Centro;Serie;110.765;Índice;
2024;T3;Centro;Tasa de variación sobre el periodo anterior;1.8;Porcentaje;
2024;T3;Centro;Tasa de variación sobre igual período del año anterior;5.6;Porcentaje;
2024;T3;Chamartín;Serie;124.123;Índice;
2024;T3;Chamartín;Tasa de variación sobre el periodo anterior;7.6;Porcentaje;
2024;T3;Chamartín;Tasa de variación sobre igual período del año anterior;17.5;Porcentaje;
2024;T3;Chamberí;Serie;119.753;Índice;
2024;T3;Chamberí;Tasa de variación sobre igual período del año anterior;9.5;Porcentaje;
2024;T3;Ciudad Lineal;Serie;116.906;Índice;
2024;T3;Ciudad Lineal;Tasa de variación sobre el periodo anterior;5.2;Porcentaje;
2024;T3;Ciudad Lineal;Tasa de variación sobre igual período del año anterior;12.2;Porcentaje;
2024;T3;Fuencarral-El Pardo;Serie;111.118;Índice;
2024;T3;Fuencarral-El Pardo;Tasa de variación sobre el periodo anterior;3.3;Porcentaje;
2024;T3;Fuencarral-El Pardo;Tasa de variación sobre igual período del año anterior;7.6;Porcentaje;
2024;T3;Hortaleza;Serie;111.067;Índice;
2024;T3;Hortaleza;Tasa de variación sobre el periodo anterior;1.0;Porcentaje;
